Monat,Hoechster Wasserstand,Niedrigster Wasserstand,Durchschnittlicher Wasserstand
Feb 2016,627,322,523
Mrz 2016,480,221,328
Apr 2016,472,254,342
Mai 2016,437,264,350
Jun 2016,612,508,561
Jul 2016,488,280,344
Aug 2016,285,168,229
Sep 2016,178,116,150
Okt 2016,140,76,104
Nov 2016,279,105,187
Dez 2016,162,82,106
Jan 2017,161,68,90
Feb 2017,295,89,217
Mrz 2017,505,236,345
Apr 2017,223,132,161
Mai 2017,305,175,240
Jun 2017,269,145,190
Jul 2017,280,130,177
Aug 2017,273,148,204
Sep 2017,281,137,203
Okt 2017,228,133,175
Nov 2017,463,143,260
Dez 2017,618,288,437
Jan 2018,837,426,644
Feb 2018,604,288,420
Mrz 2018,373,248,293
Apr 2018,349,245,295
Mai 2018,292,213,254
Jun 2018,385,174,274
Jul 2018,183,97,139
Aug 2018,95,65,81
Sep 2018,116,56,84
Okt 2018,71,25,45
Nov 2018,72,30,47
Dez 2018,484,33,236
Jan 2019,505,205,288
Feb 2019,424,189,267
Mrz 2019,636,185,341
Apr 2019,225,154,192
Mai 2019,459,183,268
Jun 2019,328,256,296
Jul 2019,251,135,196
Aug 2019,243,149,192
Sep 2019,183,102,139
Okt 2019,294,124,202
Nov 2019,302,166,225
Dez 2019,480,207,344
Jan 2020,382,152,233
Feb 2020,750,278,495
Mrz 2020,679,249,486
Apr 2020,239,133,167
